"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free"
"21","AT2G32180.1",25.8319128367842,3.72478741639413e-07,0.000501037118753816,4.21801039686528,0.344661008616521,0.0387944820075957,4.40191886239151,0.383455490624117,0.344661008616521,0.033621138684321,0.344661008616521,1
"22","AT2G23820.2",25.2051368329433,5.1544725288486e-07,0.00066183427270416,96.9561206460984,8.59386121661682,0.22033156939212,2.95926030415686,8.81419278600894,8.59386121661682,0.284165829239771,8.59386121661682,1
"23","AT2G28740.1",24.4329834038203,7.69400900457368e-07,0.000944958114613901,0.672354258666724,0.0577928239831788,0.00333029044106889,5.72663444845339,0.0611231144242475,0.0577928239831788,0.0136101449251945,0.0577928239831788,1
"24","AT4G22690.1",23.0057596448691,1.61516776449832e-06,0.00190105245881452,8.73709178065504,0.786401560312062,0.00787951065657821,5.61409212020382,0.794281070968641,0.786401560312062,0.0141351946273997,0.786401560312062,1
"25","AT2G27710.1",22.6753469767565,1.91813115584104e-06,0.00216733475560791,94.1757889217392,7.69209200790707,0.869343348614673,3.96494129154714,8.56143535652175,7.69209200790707,0.0637014399452629,7.69209200790707,1
"26","AT3G22070.1",22.4659773430732,2.1389883860798e-06,0.00232392861269162,1.69690722758415,0.142068985274919,0.0121953081418218,4.57064089834287,0.154264293416741,0.142068985274919,0.0275849353116715,0.142068985274919,1
"27","AT4G13940.2",22.0166725675349,2.70292318899045e-06,0.00282785830528156,85.7347901768722,6.09607177648066,1.69800005778044,3.50674457412068,7.7940718342611,6.09607177648066,0.125663629492291,6.09607177648066,1
"28","AT2G32560.1",21.249091729793,4.03301431068268e-06,0.0040687352945773,0.625127355396976,0.0541321366953168,0.0026976228862264,6.23355052740954,0.0568297595815436,0.0541321366953168,0.0128736707351659,0.0541321366953168,1
"29","AT2G35830.1",21.1506020079098,4.24567865108528e-06,0.00413558381158127,73.2343547777392,5.93405211729322,0.723616498864889,2.9870872071724,6.65766861615811,5.93405211729322,0.273666668083079,5.93405211729322,1
"30","AT2G21080.1",21.079910109753,4.40522498827646e-06,0.00414795984896112,27.442439658353,2.33626647796751,0.158500763700944,3.11894251098602,2.49476724166845,2.33626647796751,0.227046085110798,2.33626647796751,1
"31","AT2G35690.1",20.8276730709149,5.02516091364346e-06,0.00457905630608388,2.40954511037567,0.215820131435947,0.0032294240527506,5.83433111285444,0.219049555488697,0.215820131435947,0.0132688929667372,0.215820131435947,1
"32","AT2G31150.1",20.4272133141792,6.19426863307885e-06,0.0054021992985504,0.942002669193087,0.0812700608389246,0.004366545451356,5.53364154086216,0.0856366062902801,0.0812700608389246,0.0145614127691293,0.0812700608389246,1
"33","AT2G32520.1",20.3914903429204,6.31098048896074e-06,0.0054021992985504,0.879450457589619,0.0779991805833307,0.00195086101572558,6.38559115650251,0.0799500415990562,0.0779991805833307,0.0128947924996153,0.0779991805833307,1
"34","AT2G33510.1",20.3051018065958,6.60242986579043e-06,0.00548545408378965,1.42341698750224,0.118107789303963,0.011293755014423,4.6596057584101,0.129401544318386,0.118107789303963,0.0252876096077606,0.118107789303963,1
"35","AT5G65080.1",20.203847102806,6.96127977303516e-06,0.00561834945796278,37.4898253699721,3.27020101923396,0.137964923490779,1.06755069025774,3.40816594272473,3.27020101923396,1.43001075201572,3.27020101923396,1
"36","AT2G26470.1",19.999404390991,7.74662899819169e-06,0.00607852155391442,1.18284226402569,0.0941677120053313,0.0133634029060954,4.50381733633788,0.107531114911427,0.0941677120053313,0.0296713770040232,0.0941677120053313,1
"37","ATCG00270.1",19.8229569183957,8.49561742363203e-06,0.00648605948602048,0.75770380870409,0.0676254759621495,0.00125668846549506,6.68325605792473,0.0688821644276449,0.0676254759621495,0.013075630303676,0.0676254759621495,1
"38","AT2G28815.1",19.6124268296054,9.48502718165392e-06,0.00705086967966736,6.68322806864212,0.556493351191054,0.0510728368673211,3.24715170544297,0.607566188058374,0.556493351191054,0.18740243128318,0.556493351191054,1
"39","AT1G64790.2",19.4642657743013,1.02499409575887e-05,0.00735229600754463,113.773486029751,9.20861430137997,1.13442988314284,3.15881920579182,10.3430441845228,9.20861430137997,0.214081355698609,9.20861430137997,1
"40","AT2G25590.1",19.434474918799,1.04110676968913e-05,0.00735229600754463,2.0082608757491,0.164408470902478,0.0181606996201671,4.2698994266277,0.182569170522646,0.164408470902478,0.0402880111667522,0.164408470902478,1
"41","AT4G24890.1",19.2921081946675,1.1216901571192e-05,0.00772817159958611,33.2161344611273,2.8606138325914,0.159034754783802,1.47333614342062,3.01964858737521,2.8606138325914,1.11701899415469,2.8606138325914,1
"42","AT2G35010.2",18.912317310664,1.36866115205724e-05,0.00920522386269352,95.059188426829,7.35502895080422,1.28671545163478,3.06901277840496,8.641744402439,7.35502895080422,0.244049195490888,7.35502895080422,1
